old_path,type,action,target,new_type,title,notes
/,homepage,keep,,page,(no title tag) — front page,"true canonical front page, richer content"
/home/,homepage,301,/,,Home,"duplicate/alt homepage, consolidate to root"
/about2/,page,301,/about/,,About2,"richer content, merges into /about/; content source"
/about/,page,keep,,page,About,"content rebuilt from about2 (richer, has team bios)"
/faq2/,page,301,/faq/,,FAQ2,"byte-identical to /faq/, consolidate"
/faq/,page,keep,,page,FAQ2,canonical FAQ url
/service/,page,301,/tours/,,Tours,old tours index folded into new /tours/ hub
/services/,page,keep,,page,Services,"relocation services index, kept as page"
/tours/,other,keep,,hub,,"new tours index hub, not in old sitemap"
/pricing/,page,301,/tours/,,Pricing,"empty page, folded into tours index"
/team/,page,301,/about/,,Team,"empty page, folded into about"
/destinations/,page,301,/tourist-attractions-paraguay/,,Destinations,"placeholder demo content, replaced by attractions hub"
/destination-detail/,page,410,,,Destination Detail2,"placeholder theme-demo content, not real"
/anton-single-service-test/,page,410,,,anton single service test,"test/junk page, exposed personal email"
/metform-form/new-form-1770073113/,cpt,410,,,new-form-1770073113,"MetForm plugin auto-registered form stub, not a content page"
/rent-car/,page,301,/private-driver/,,Rent Car,"thin/broken empty page, consolidated into private driver service"
/tourist-attractions-paraguay/,page,keep,,hub,Tourist Attractions in Paraguay,was empty & broken nav link; rebuilt as attractions hub
/blog/,page,keep,,blog-index,Blog,blog index
/contact/,page,keep,,page,Contact,
/asuncion-city-tour/,page,keep,,tour,Asuncion City Tour,
/restaurants-asuncion-guide/,page,keep,,tour,Restaurants Asuncion Guide,
/bars-asuncion-tour/,page,keep,,tour,Bars Asuncion Tour,
/food-paraguay-tour/,page,keep,,tour,Food Paraguay Tour,
/shopping-asuncion/,page,keep,,tour,Shopping Asuncion,
/paraguay-souvenirs/,page,keep,,tour,Paraguay Souvenirs,
/paraguay-culture-tour/,page,keep,,tour,Paraguay Culture Tour,
/jesuit-ruins-tour/,page,keep,,tour,Jesuit Ruins Tour,
/salto-cristal-tour/,page,keep,,tour,Salto Cristal Tour,
/itaipu-dam-tour/,page,keep,,tour,Itaipu Dam Tour,
/yerba-mate-tour/,page,keep,,tour,Yerba Mate Tour,
/san-bernardino-trip/,page,keep,,tour,San Bernardino Trip,
/bird-watching/,page,keep,,tour,Bird Watching,
/fishing-charters/,page,keep,,tour,Fishing Charters,
/iguazu-falls-from-asuncion/,page,keep,,tour,Iguazu Falls from Asuncion,
/paraguay-tour/,page,keep,,tour,Paraguay Tour,
/day-trips-asuncion/,page,keep,,tour,Day Trips from Asunción,
/paraguay-real-estate-tour/,page,keep,,tour,Paraguay Real Estate Tour,
/apartment-hunting/,page,keep,,service,Apartment Hunting,
/school-placement/,page,keep,,service,School Placement,
/paraguay-residency-service/,page,keep,,service,Paraguay Residency Service,
/private-driver/,page,keep,,service,Private Driver,
/airport-transfer/,page,keep,,service,Airport Transfer,
/healthcare-paraguay/,page,keep,,service,Healthcare Paraguay,
/travel-planner/,page,keep,,service,Travel Planner,
/paraguay-tourism-guide/,page,keep,,page,Paraguay Tourism Guide,page wins over shadowed post of same title/slug
/exploring-ciudad-del-este/,post,keep,,post,Exploring the Soul of Ciudad del Este,
/paraguayan-cuisine/,post,keep,,post,A food lover's Guide to Paraguayan Cuisine,
/top-places-paraguay/,post,keep,,post,Top Places to Discover in Paraguay,
/jesuit-missions-paraguay/,post,keep,,post,The Jesuit Missions of Paraguay,
/cost-of-living-paraguay/,post,keep,,post,Cost of Living in Paraguay (2025),
/best-neighborhoods-to-live-in-asuncion-where-should-you-settle-down-in-2025/,post,keep,,post,Best Neighborhoods to Live in Asunción,
/renting-apartment-asuncion/,post,keep,,post,Renting an Apartment in Asunción,
/remote-work-life-in-asuncion-cafes-coworking-internet-you-can-rely-on/,post,keep,,post,Remote Work Life in Asunción,
/cerro-cora-park/,post,keep,,post,Cerro Corá National Park,
